                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4706,                 1.9629,                0.77343,                 1.0403,                0.84026,                0.78087,                0.87349,                0.50288,                0.82752,                0.76187,                0.85265,                0.42929,                  1.528,                 2.1497,                0.82601,                 1.1898,              0.0016044,              0.0016044,              0.0016044
                     61,                 1.4674,                 1.9495,                0.76732,                  1.042,                0.81058,                0.78497,                0.86128,                0.48769,                0.80284,                0.76533,                0.84275,                0.41976,                 1.5628,                 2.2231,                 0.8837,                 1.1826,              0.0015919,              0.0015919,              0.0015919
                     62,                 1.4639,                 1.9378,                0.76354,                  1.037,                0.83252,                0.79412,                0.87742,                  0.513,                0.82498,                0.78357,                0.86452,                0.46782,                 1.4913,                 2.1092,                 0.8314,                 1.1538,              0.0015793,              0.0015793,              0.0015793
                     63,                 1.4463,                 1.9096,                0.77165,                  1.036,                0.82336,                0.79037,                0.86998,                0.50626,                0.81551,                0.78066,                  0.858,                0.45911,                 1.5112,                 2.1625,                0.86105,                 1.1635,              0.0015665,              0.0015665,              0.0015665
                     64,                 1.4643,                 1.9428,                0.77756,                 1.0402,                0.81662,                0.78833,                 0.8618,                0.49099,                0.80938,                0.78433,                0.85061,                0.44953,                 1.5443,                 2.2339,                0.86889,                 1.1874,              0.0015535,              0.0015535,              0.0015535
                     65,                 1.4657,                 1.9555,                0.78732,                  1.036,                0.81044,                 0.7785,                0.85862,                0.49664,                0.80136,                0.76835,                0.84292,                0.43935,                 1.4946,                 2.1506,                0.90649,                 1.1603,              0.0015405,              0.0015405,              0.0015405
                     66,                 1.4389,                  1.902,                0.75822,                 1.0234,                0.83789,                0.77461,                 0.8615,                0.49318,                0.83332,                0.75864,                0.84811,                0.43703,                 1.6032,                 2.2418,                0.88743,                 1.2145,              0.0015273,              0.0015273,              0.0015273
                     67,                 1.4426,                 1.9022,                0.75369,                 1.0248,                0.82567,                 0.7853,                0.86667,                  0.501,                0.81568,                0.76835,                0.85142,                 0.4394,                 1.4969,                 2.1389,                  0.842,                 1.1578,               0.001514,               0.001514,               0.001514
                     68,                 1.4214,                 1.9016,                0.73799,                 1.0285,                0.82153,                  0.797,                0.86887,                0.50571,                0.81826,                0.77612,                0.85019,                0.44703,                 1.5319,                 2.2222,                0.85038,                 1.1981,              0.0015005,              0.0015005,              0.0015005
                     69,                  1.433,                 1.8997,                0.75416,                 1.0273,                 0.8248,                0.78713,                0.86882,                0.48825,                0.81485,                  0.769,                0.84885,                0.42691,                 1.5621,                 2.2075,                0.88093,                 1.1952,              0.0014869,              0.0014869,              0.0014869
                     70,                 1.4585,                 1.9088,                0.75893,                 1.0318,                0.81625,                0.80959,                0.87665,                0.50758,                 0.8061,                0.79771,                0.86186,                0.44714,                 1.5336,                 2.2053,                0.81874,                 1.1806,              0.0014733,              0.0014733,              0.0014733
                     71,                 1.4395,                 1.8904,                0.74327,                 1.0256,                0.82523,                0.80127,                 0.8763,                 0.5016,                0.81454,                0.78325,                0.85896,                0.43503,                 1.4974,                   2.15,                0.83795,                 1.1609,              0.0014595,              0.0014595,              0.0014595
                     72,                 1.4222,                 1.8884,                0.73713,                 1.0232,                0.83118,                0.79447,                0.87507,                 0.5019,                0.82252,                0.78325,                0.85867,                0.43401,                 1.4838,                  2.114,                0.81845,                 1.1531,              0.0014455,              0.0014455,              0.0014455
                     73,                  1.429,                 1.8882,                0.74147,                 1.0235,                0.82618,                0.79102,                0.87048,                0.49318,                0.82768,                0.76317,                0.85017,                 0.4224,                 1.5438,                 2.1685,                0.83625,                 1.1797,              0.0014315,              0.0014315,              0.0014315
                     74,                 1.4439,                 1.8881,                0.75031,                   1.03,                0.84136,                0.79233,                  0.877,                0.49604,                0.83147,                0.77116,                0.85553,                0.42183,                 1.5198,                 2.1187,                0.83012,                 1.1725,              0.0014174,              0.0014174,              0.0014174
                     75,                 1.4472,                 1.8712,                0.74235,                 1.0275,                0.82464,                0.79167,                0.87202,                0.50587,                0.81286,                0.77763,                0.85448,                0.44096,                 1.5028,                 2.1224,                0.83151,                 1.1633,              0.0014032,              0.0014032,              0.0014032
                     76,                 1.4281,                 1.8801,                0.73619,                 1.0262,                0.84006,                0.79296,                0.87684,                0.51229,                0.83582,                0.77699,                0.86142,                0.45414,                 1.4561,                 2.0776,                0.82052,                 1.1392,              0.0013889,              0.0013889,              0.0013889
                     77,                 1.4179,                 1.8648,                0.73086,                 1.0283,                0.82929,                0.79922,                0.87776,                0.51452,                0.82661,                 0.7785,                0.86105,                0.44735,                 1.5012,                 2.1404,                0.81932,                 1.1554,              0.0013744,              0.0013744,              0.0013744
                     78,                 1.4133,                 1.8817,                0.73682,                 1.0316,                0.80781,                0.79642,                0.86245,                0.49256,                 0.8066,                  0.769,                0.84201,                0.42359,                 1.5072,                 2.1698,                0.82585,                 1.1702,              0.0013599,              0.0013599,              0.0013599
                     79,                 1.4172,                  1.868,                 0.7425,                 1.0253,                0.81633,                0.80829,                0.87256,                 0.5085,                0.80693,                0.79583,                  0.858,                0.44908,                 1.4859,                 2.0896,                0.90107,                 1.1598,              0.0013454,              0.0013454,              0.0013454
                     80,                  1.416,                 1.8569,                 0.7393,                 1.0293,                0.82694,                0.80257,                0.87594,                0.50957,                0.82087,                0.78553,                0.85975,                0.45322,                 1.5026,                 2.1903,                0.82141,                 1.1708,              0.0013307,              0.0013307,              0.0013307
                     81,                 1.4081,                 1.8754,                0.74385,                  1.031,                0.84361,                0.79253,                0.88121,                0.51152,                0.83914,                0.78519,                0.87081,                0.45679,                 1.5031,                 2.2291,                0.83745,                 1.1763,              0.0013159,              0.0013159,              0.0013159
                     82,                 1.4105,                 1.8454,                0.72618,                 1.0224,                0.82219,                0.80059,                0.87528,                 0.4886,                0.81016,                0.78217,                0.85526,                0.41675,                 1.5721,                 2.2254,                 0.8368,                 1.1888,              0.0013011,              0.0013011,              0.0013011
                     83,                 1.3977,                 1.8584,                 0.7209,                 1.0204,                 0.8357,                0.79512,                0.87841,                0.51216,                0.82921,                0.77461,                0.85997,                0.44969,                 1.4406,                 2.0719,                0.81133,                  1.131,              0.0012862,              0.0012862,              0.0012862
                     84,                 1.4055,                 1.8463,                0.72145,                 1.0085,                0.83234,                0.80915,                0.88302,                0.51643,                 0.8232,                0.78808,                0.86488,                0.45288,                  1.462,                 2.1191,                0.79074,                 1.1451,              0.0012712,              0.0012712,              0.0012712
                     85,                 1.4086,                 1.8585,                0.72162,                 1.0243,                0.83758,                0.80419,                0.88096,                0.51014,                0.83169,                0.79155,                0.86697,                0.46733,                 1.4638,                 2.0596,                0.79186,                 1.1514,              0.0012562,              0.0012562,              0.0012562
                     86,                 1.4233,                 1.8627,                0.73097,                 1.0231,                0.83715,                0.80052,                0.88081,                0.50302,                0.82488,                0.78506,                0.86149,                0.43078,                 1.4928,                 2.0843,                0.80438,                 1.1522,              0.0012411,              0.0012411,              0.0012411
                     87,                 1.4109,                   1.85,                0.71813,                 1.0141,                0.83475,                0.81576,                0.88402,                0.51266,                0.83235,                0.79209,                0.86415,                0.44995,                 1.4693,                 2.0961,                0.79145,                 1.1615,               0.001226,               0.001226,               0.001226
                     88,                 1.3902,                 1.8232,                0.71524,                 1.0101,                 0.8238,                0.82297,                0.88199,                0.51171,                0.81755,                0.79518,                0.86265,                0.44558,                 1.4478,                 2.0514,                0.82141,                 1.1334,              0.0012108,              0.0012108,              0.0012108
                     89,                 1.3967,                 1.8475,                0.71717,                 1.0206,                0.81714,                0.79398,                0.86898,                0.47809,                0.81843,                0.75904,                0.84264,                 0.4109,                 1.5522,                 2.0606,                0.84752,                 1.1691,              0.0011955,              0.0011955,              0.0011955
                     90,                 1.3938,                 1.8272,                0.71314,                 1.0208,                0.83554,                0.80484,                0.88376,                0.51495,                0.83054,                0.78195,                0.86265,                0.44611,                 1.4841,                 2.0922,                0.79057,                 1.1514,              0.0011802,              0.0011802,              0.0011802
                     91,                 1.3874,                 1.8329,                0.71869,                 1.0226,                0.82949,                0.81757,                0.88624,                 0.5198,                0.82506,                 0.8003,                0.86966,                0.45728,                  1.449,                 2.0334,                0.75845,                 1.1436,              0.0011649,              0.0011649,              0.0011649
                     92,                 1.3806,                 1.8394,                0.71638,                 1.0138,                0.82688,                0.81196,                0.88249,                0.51723,                0.81691,                0.79372,                0.86525,                0.45101,                 1.4406,                 2.0494,                0.79508,                 1.1349,              0.0011495,              0.0011495,              0.0011495
                     93,                 1.3963,                 1.8342,                0.71858,                 1.0145,                0.83364,                0.80705,                0.88318,                 0.5123,                0.82879,                0.78497,                0.86048,                0.44464,                 1.4862,                 2.0719,                 0.7912,                 1.1526,              0.0011341,              0.0011341,              0.0011341
                     94,                 1.3863,                 1.8285,                0.71527,                 1.0133,                0.84301,                0.81033,                0.88128,                0.51551,                0.83577,                0.79214,                0.86481,                0.45874,                 1.4588,                 2.0207,                 0.7881,                 1.1332,              0.0011186,              0.0011186,              0.0011186
                     95,                 1.3891,                 1.8363,                0.70845,                 1.0214,                0.83151,                0.81293,                0.88296,                0.50465,                0.82747,                 0.7973,                0.86921,                0.45096,                 1.4347,                 2.0082,                0.77584,                 1.1375,              0.0011032,              0.0011032,              0.0011032
                     96,                 1.3899,                  1.828,                0.70725,                 1.0214,                0.82993,                0.82282,                0.88604,                0.51724,                0.83644,                0.79822,                 0.8718,                0.45915,                 1.4406,                 2.0371,                0.74804,                 1.1325,              0.0010877,              0.0010877,              0.0010877
                     97,                 1.4016,                 1.8437,                0.70945,                 1.0208,                0.83617,                0.81131,                0.88462,                 0.5127,                 0.8323,                0.79502,                0.87081,                0.45455,                 1.4404,                 2.0359,                0.75321,                 1.1452,              0.0010722,              0.0010722,              0.0010722
                     98,                 1.3819,                 1.8225,                0.70137,                 1.0083,                0.81407,                0.82556,                0.88481,                0.51363,                 0.8305,                0.78886,                0.86975,                0.44905,                 1.4532,                 2.0292,                0.78467,                 1.1487,              0.0010566,              0.0010566,              0.0010566
                     99,                 1.3952,                 1.8218,                 0.7075,                 1.0163,                0.83989,                0.80748,                0.88147,                0.51315,                0.83078,                0.78642,                0.86341,                0.44648,                 1.4585,                 2.0391,                0.77175,                 1.1417,              0.0010411,              0.0010411,              0.0010411
                    100,                 1.3589,                 1.8031,                0.70137,                 1.0063,                0.82395,                0.80117,                0.87352,                 0.4951,                0.81512,                0.78476,                0.85542,                0.42414,                 1.5499,                 2.1678,                0.80181,                 1.1798,              0.0010256,              0.0010256,              0.0010256
                    101,                 1.3902,                 1.8201,                0.71422,                 1.0132,                0.83349,                0.79598,                0.87575,                0.50596,                0.83444,                 0.7731,                 0.8585,                 0.4366,                  1.478,                 2.1124,                0.81027,                 1.1523,                0.00101,                0.00101,                0.00101
                    102,                 1.3989,                 1.8368,                0.70868,                 1.0132,                0.84311,                0.79125,                0.87388,                0.51137,                0.83279,                0.77742,                0.86004,                0.45653,                  1.398,                 2.0028,                0.78999,                 1.1155,             0.00099445,             0.00099445,             0.00099445
